"","id","average_depth","anomaly_score","state","status"
"145",145,7.73,0.59,"normal","normal"
"146",146,7.83,0.59,"normal","normal"
"147",147,7.99,0.58,"normal","normal"
"148",148,7.83,0.59,"normal","normal"
"149",149,7.89,0.59,"normal","normal"
"150",150,7.62,0.6,"normal","normal"
"151",151,7.99,0.58,"normal","normal"
"152",152,7.74,0.59,"normal","normal"
"153",153,7.02,0.62,"normal","normal"
"154",154,7.96,0.58,"normal","normal"
"155",155,7.97,0.58,"normal","normal"
"156",156,7.99,0.58,"normal","normal"
"157",157,7.97,0.58,"normal","normal"
"158",158,7.1,0.62,"normal","normal"
"159",159,7.83,0.59,"normal","normal"
"160",160,7.95,0.58,"normal","normal"
"161",161,7.93,0.58,"normal","normal"
"162",162,7.98,0.58,"normal","normal"
"163",163,7.97,0.58,"normal","normal"
"164",164,7.73,0.59,"normal","normal"
"165",165,7.92,0.59,"normal","normal"
"166",166,7.74,0.59,"normal","normal"
"167",167,7.93,0.58,"normal","normal"
"168",168,7.78,0.59,"normal","normal"
"169",169,7.93,0.58,"normal","normal"
"170",170,7.85,0.59,"normal","normal"
"171",171,7.64,0.6,"normal","normal"
"172",172,6.98,0.62,"normal","normal"
"173",173,7.79,0.59,"normal","normal"
"174",174,7.02,0.62,"normal","normal"
"175",175,7.9,0.59,"normal","normal"
"176",176,7.8,0.59,"normal","normal"
"177",177,7.92,0.59,"normal","normal"
"178",178,7.94,0.58,"normal","normal"
"179",179,7.92,0.59,"normal","normal"
"180",180,7.89,0.59,"normal","normal"
"181",181,7.97,0.58,"normal","normal"
"182",182,7.9,0.59,"normal","normal"
"183",183,7.8,0.59,"normal","normal"
"184",184,7.83,0.59,"normal","normal"
"185",185,7.64,0.6,"normal","normal"
"186",186,7.93,0.58,"normal","normal"
"187",187,7.75,0.59,"normal","normal"
"188",188,7.44,0.6,"normal","normal"
"189",189,7.82,0.59,"normal","normal"
"190",190,7.76,0.59,"normal","normal"
"191",191,7.92,0.59,"normal","normal"
"192",192,7.82,0.59,"normal","normal"
"193",193,7.97,0.58,"normal","normal"
"194",194,6.99,0.62,"normal","normal"
"195",195,7.89,0.59,"normal","normal"
"196",196,7.92,0.59,"normal","normal"
"197",197,7.79,0.59,"normal","normal"
"198",198,7.98,0.58,"normal","normal"
"199",199,7.93,0.58,"normal","normal"
"200",200,7.94,0.58,"normal","normal"
"201",201,7.95,0.58,"normal","normal"
"202",202,7.78,0.59,"normal","normal"
"203",203,7.8,0.59,"normal","normal"
"204",204,7.93,0.58,"normal","normal"
"205",205,7.92,0.59,"normal","normal"
"206",206,7.81,0.59,"normal","normal"
"207",207,7.95,0.58,"normal","normal"
"208",208,7.98,0.58,"normal","normal"
"209",209,7.7,0.59,"normal","normal"
"210",210,7.79,0.59,"normal","normal"
"211",211,7.83,0.59,"normal","normal"
"212",212,7.89,0.59,"normal","normal"
"213",213,7.31,0.61,"normal","normal"
"214",214,7.87,0.59,"normal","normal"
"215",215,7.83,0.59,"normal","normal"
"216",216,7.8,0.59,"normal","normal"
"217",217,7.82,0.59,"normal","normal"
"218",218,7.79,0.59,"normal","normal"
"219",219,7.71,0.59,"normal","normal"
"220",220,7.96,0.58,"normal","normal"
"221",221,7.99,0.58,"normal","normal"
"222",222,7.16,0.62,"normal","normal"
"223",223,7.98,0.58,"normal","normal"
"224",224,7.82,0.59,"normal","normal"
"225",225,7.62,0.6,"normal","normal"
"226",226,7.1,0.62,"normal","normal"
"227",227,7.78,0.59,"normal","normal"
"228",228,8,0.58,"normal","normal"
"229",229,8,0.58,"normal","normal"
"230",230,7.73,0.59,"normal","normal"
"231",231,7.92,0.59,"normal","normal"
"232",232,7.94,0.58,"normal","normal"
"233",233,7.93,0.58,"normal","normal"
"234",234,7.91,0.59,"normal","normal"
"235",235,7.87,0.59,"normal","normal"
"236",236,7.86,0.59,"normal","normal"
"237",237,7.97,0.58,"normal","normal"
"238",238,7.91,0.59,"normal","normal"
"239",239,7.81,0.59,"normal","normal"
"240",240,7.97,0.58,"normal","normal"
"241",241,7.91,0.59,"normal","normal"
"242",242,7.83,0.59,"normal","normal"
"243",243,7.94,0.58,"normal","normal"
"244",244,7.86,0.59,"normal","normal"
"245",245,7.82,0.59,"normal","normal"
"246",246,7.73,0.59,"normal","normal"
"247",247,7.97,0.58,"normal","normal"
"248",248,7.95,0.58,"normal","normal"
"249",249,7.99,0.58,"normal","normal"
"250",250,7.5,0.6,"normal","normal"
"251",251,7.78,0.59,"normal","normal"
"252",252,7.81,0.59,"normal","normal"
"253",253,6.91,0.63,"anomalia","anomalia"
"254",254,7.73,0.59,"normal","normal"
"255",255,7.94,0.58,"normal","normal"
"256",256,7.89,0.59,"normal","normal"
"257",257,7.06,0.62,"normal","normal"
"258",258,7.77,0.59,"normal","normal"
"259",259,7.91,0.59,"normal","normal"
"260",260,7.98,0.58,"normal","normal"
"261",261,7.97,0.58,"normal","normal"
"262",262,7.93,0.58,"normal","normal"
"263",263,7.31,0.61,"normal","normal"
"264",264,7.85,0.59,"normal","normal"
"265",265,7.98,0.58,"normal","normal"
"266",266,7.07,0.62,"normal","normal"
"267",267,7.86,0.59,"normal","normal"
"268",268,7.81,0.59,"normal","normal"
"269",269,7.66,0.6,"normal","normal"
"270",270,7.95,0.58,"normal","normal"
"271",271,7.93,0.58,"normal","normal"
"272",272,7.95,0.58,"normal","normal"
"273",273,7.86,0.59,"normal","normal"
"274",274,7.23,0.61,"normal","normal"
"275",275,7.94,0.58,"normal","normal"
"276",276,7.59,0.6,"normal","normal"
"277",277,7.9,0.59,"normal","normal"
"278",278,7.76,0.59,"normal","normal"
"279",279,7.9,0.59,"normal","normal"
"280",280,7.28,0.61,"normal","normal"
"281",281,7.8,0.59,"normal","normal"
"282",282,7.9,0.59,"normal","normal"
"283",283,7.53,0.6,"normal","normal"
"284",284,7.34,0.61,"normal","normal"
"285",285,7.97,0.58,"normal","normal"
"286",286,7.97,0.58,"normal","normal"
"287",287,7.92,0.59,"normal","normal"
"288",288,7.97,0.58,"normal","normal"
"289",289,7.95,0.58,"normal","normal"
"290",290,7.99,0.58,"normal","normal"
"291",291,6.84,0.63,"anomalia","anomalia"
"292",292,7.93,0.58,"normal","normal"
"293",293,7.58,0.6,"normal","normal"
"294",294,7.89,0.59,"normal","normal"
"295",295,7.63,0.6,"normal","normal"
"296",296,7.84,0.59,"normal","normal"
"297",297,7.97,0.58,"normal","normal"
"298",298,7.94,0.58,"normal","normal"
"299",299,7.12,0.62,"normal","normal"
"300",300,7.91,0.59,"normal","normal"
"301",301,7.1,0.62,"normal","normal"
"302",302,7.97,0.58,"normal","normal"
"303",303,7.94,0.58,"normal","normal"
"304",304,7.77,0.59,"normal","normal"
"305",305,7.74,0.59,"normal","normal"
"306",306,7.74,0.59,"normal","normal"
"307",307,7.95,0.58,"normal","normal"
"308",308,7.24,0.61,"normal","normal"
"309",309,7.96,0.58,"normal","normal"
"310",310,7.83,0.59,"normal","normal"
"311",311,7.73,0.59,"normal","normal"
"312",312,7.91,0.59,"normal","normal"
"313",313,7.95,0.58,"normal","normal"
"314",314,7.88,0.59,"normal","normal"
"315",315,7.91,0.59,"normal","normal"
"316",316,7.96,0.58,"normal","normal"
"317",317,7.79,0.59,"normal","normal"
"318",318,7.52,0.6,"normal","normal"
"319",319,7.98,0.58,"normal","normal"
"320",320,7.4,0.61,"normal","normal"
"321",321,7.94,0.58,"normal","normal"
"322",322,7.95,0.58,"normal","normal"
"323",323,7.95,0.58,"normal","normal"
"324",324,7.1,0.62,"normal","normal"
"325",325,7.72,0.59,"normal","normal"
"326",326,7.86,0.59,"normal","normal"
"327",327,7.97,0.58,"normal","normal"
"328",328,7.86,0.59,"normal","normal"
"329",329,7.78,0.59,"normal","normal"
"330",330,7.93,0.58,"normal","normal"
"331",331,7.92,0.59,"normal","normal"
"332",332,7.9,0.59,"normal","normal"
"333",333,7.83,0.59,"normal","normal"
"334",334,7.92,0.59,"normal","normal"
"335",335,7.89,0.59,"normal","normal"
"336",336,7.84,0.59,"normal","normal"
"337",337,7.87,0.59,"normal","normal"
"338",338,7.9,0.59,"normal","normal"
"339",339,7.7,0.59,"normal","normal"
"340",340,7.72,0.59,"normal","normal"
"341",341,8,0.58,"normal","normal"
"342",342,7.46,0.6,"normal","normal"
"343",343,7.78,0.59,"normal","normal"
"344",344,7.44,0.6,"normal","normal"
"345",345,7.74,0.59,"normal","normal"
"346",346,7.4,0.61,"normal","normal"
"347",347,7.16,0.62,"normal","normal"
"348",348,7.9,0.59,"normal","normal"
"349",349,7.52,0.6,"normal","normal"
"350",350,7.81,0.59,"normal","normal"
"351",351,7.73,0.59,"normal","normal"
"352",352,7.94,0.58,"normal","normal"
"353",353,7.86,0.59,"normal","normal"
"354",354,7.23,0.61,"normal","normal"
"355",355,7.75,0.59,"normal","normal"
"356",356,7.92,0.59,"normal","normal"
"357",357,7.89,0.59,"normal","normal"
"358",358,7.93,0.58,"normal","normal"
"359",359,7.74,0.59,"normal","normal"
"360",360,7.64,0.6,"normal","normal"
"361",361,7.99,0.58,"normal","normal"
"362",362,7.98,0.58,"normal","normal"
"363",363,7.95,0.58,"normal","normal"
"364",364,7.96,0.58,"normal","normal"
"365",365,7.77,0.59,"normal","normal"
"366",366,7,0.62,"normal","normal"
"367",367,7.39,0.61,"normal","normal"
"368",368,7.95,0.58,"normal","normal"
"369",369,7.65,0.6,"normal","normal"
"370",370,7.78,0.59,"normal","normal"
"371",371,7.86,0.59,"normal","normal"
"372",372,7.93,0.58,"normal","normal"
"373",373,7.77,0.59,"normal","normal"
"374",374,7.81,0.59,"normal","normal"
"375",375,7.91,0.59,"normal","normal"
"376",376,7.72,0.59,"normal","normal"
"377",377,7.99,0.58,"normal","normal"
"378",378,7.93,0.58,"normal","normal"
"379",379,7.82,0.59,"normal","normal"
"380",380,7.94,0.58,"normal","normal"
"381",381,7.9,0.59,"normal","normal"
"382",382,7.79,0.59,"normal","normal"
"383",383,7.98,0.58,"normal","normal"
"384",384,7.97,0.58,"normal","normal"
"385",385,7.93,0.58,"normal","normal"
"386",386,6.65,0.64,"anomalia","anomalia"
"387",387,7.68,0.59,"normal","normal"
"388",388,7.55,0.6,"normal","normal"
"389",389,7.97,0.58,"normal","normal"
"390",390,7.96,0.58,"normal","normal"
"391",391,7.14,0.62,"normal","normal"
"392",392,7.18,0.62,"normal","normal"
"393",393,7.92,0.59,"normal","normal"
"394",394,7.67,0.6,"normal","normal"
"395",395,7.86,0.59,"normal","normal"
"396",396,7.95,0.58,"normal","normal"
"397",397,7.96,0.58,"normal","normal"
"398",398,7.95,0.58,"normal","normal"
"399",399,7.83,0.59,"normal","normal"
"400",400,7.72,0.59,"normal","normal"
"401",401,7.73,0.59,"normal","normal"
"402",402,7.98,0.58,"normal","normal"
"403",403,7.98,0.58,"normal","normal"
"404",404,7.94,0.58,"normal","normal"
"405",405,7.8,0.59,"normal","normal"
"406",406,7.88,0.59,"normal","normal"
"407",407,7.94,0.58,"normal","normal"
"408",408,7.3,0.61,"normal","normal"
"409",409,7.77,0.59,"normal","normal"
"410",410,7.98,0.58,"normal","normal"
"411",411,7.8,0.59,"normal","normal"
"412",412,7.44,0.6,"normal","normal"
"413",413,7.89,0.59,"normal","normal"
"414",414,7.65,0.6,"normal","normal"
"415",415,7.81,0.59,"normal","normal"
"416",416,7.69,0.59,"normal","normal"
"417",417,7.83,0.59,"normal","normal"
"418",418,7.83,0.59,"normal","normal"
"419",419,7.99,0.58,"normal","normal"
"420",420,7.71,0.59,"normal","normal"
"421",421,7.91,0.59,"normal","normal"
"422",422,7.97,0.58,"normal","normal"
"423",423,7.84,0.59,"normal","normal"
"424",424,7.98,0.58,"normal","normal"
"425",425,7.61,0.6,"normal","normal"
"426",426,7.28,0.61,"normal","normal"
"427",427,7.92,0.59,"normal","normal"
"428",428,7.94,0.58,"normal","normal"
"429",429,7.71,0.59,"normal","normal"
"430",430,7.79,0.59,"normal","normal"
"431",431,7.84,0.59,"normal","normal"
"432",432,7.95,0.58,"normal","normal"
"433",433,7.94,0.58,"normal","normal"
"434",434,7.87,0.59,"normal","normal"
"435",435,7.85,0.59,"normal","normal"
"436",436,7.04,0.62,"normal","normal"
"437",437,7.67,0.6,"normal","normal"
"438",438,7.41,0.61,"normal","normal"
"439",439,7.98,0.58,"normal","normal"
"440",440,7.78,0.59,"normal","normal"
"441",441,7.98,0.58,"normal","normal"
"442",442,7.88,0.59,"normal","normal"
"443",443,7.97,0.58,"normal","normal"
"444",444,7.9,0.59,"normal","normal"
"445",445,7.91,0.59,"normal","normal"
"446",446,7.33,0.61,"normal","normal"
"447",447,7.63,0.6,"normal","normal"
"448",448,7.96,0.58,"normal","normal"
"449",449,7.98,0.58,"normal","normal"
"450",450,7.93,0.58,"normal","normal"
"451",451,7.91,0.59,"normal","normal"
"452",452,7.98,0.58,"normal","normal"
"453",453,7.98,0.58,"normal","normal"
"454",454,7.82,0.59,"normal","normal"
"455",455,7.92,0.59,"normal","normal"
"456",456,7.91,0.59,"normal","normal"
"457",457,7.73,0.59,"normal","normal"
"458",458,7.97,0.58,"normal","normal"
"459",459,7.7,0.59,"normal","normal"
"460",460,7.93,0.58,"normal","normal"
"461",461,7.85,0.59,"normal","normal"
"462",462,7.83,0.59,"normal","normal"
"463",463,7.78,0.59,"normal","normal"
"464",464,7.83,0.59,"normal","normal"
"465",465,7.93,0.58,"normal","normal"
"466",466,7.79,0.59,"normal","normal"
"467",467,7.73,0.59,"normal","normal"
"468",468,7.87,0.59,"normal","normal"
"469",469,7.94,0.58,"normal","normal"
"470",470,7.85,0.59,"normal","normal"
"471",471,7.93,0.58,"normal","normal"
"472",472,7.56,0.6,"normal","normal"
"473",473,7.66,0.6,"normal","normal"
"474",474,7.96,0.58,"normal","normal"
"475",475,7.91,0.59,"normal","normal"
"476",476,8,0.58,"normal","normal"
"477",477,7.97,0.58,"normal","normal"
"478",478,7.49,0.6,"normal","normal"
"479",479,7.79,0.59,"normal","normal"
"480",480,7.82,0.59,"normal","normal"
"481",481,7.73,0.59,"normal","normal"
"482",482,7.94,0.58,"normal","normal"
"483",483,7.02,0.62,"normal","normal"
"484",484,7.38,0.61,"normal","normal"
"485",485,7.95,0.58,"normal","normal"
"486",486,7.99,0.58,"normal","normal"
"487",487,7.76,0.59,"normal","normal"
"488",488,7.99,0.58,"normal","normal"
"489",489,7.9,0.59,"normal","normal"
"490",490,7.97,0.58,"normal","normal"
"491",491,7.96,0.58,"normal","normal"
"492",492,8,0.58,"normal","normal"
"493",493,7.84,0.59,"normal","normal"
"494",494,7.95,0.58,"normal","normal"
"495",495,7.63,0.6,"normal","normal"
"496",496,7.96,0.58,"normal","normal"
"497",497,7.87,0.59,"normal","normal"
"498",498,7.91,0.59,"normal","normal"
"499",499,7.79,0.59,"normal","normal"
"500",500,7.74,0.59,"normal","normal"
"501",501,7.76,0.59,"normal","normal"
"502",502,7.99,0.58,"normal","normal"
"503",503,7.89,0.59,"normal","normal"
"504",504,7.95,0.58,"normal","normal"
"505",505,7.85,0.59,"normal","normal"
"506",506,7.7,0.59,"normal","normal"
"507",507,7.83,0.59,"normal","normal"
"508",508,7.76,0.59,"normal","normal"
"509",509,7.96,0.58,"normal","normal"
"510",510,7.15,0.62,"normal","normal"
"511",511,7.97,0.58,"normal","normal"
"512",512,7.85,0.59,"normal","normal"
"513",513,7.94,0.58,"normal","normal"
"514",514,7.55,0.6,"normal","normal"
"515",515,7.77,0.59,"normal","normal"
"516",516,7.94,0.58,"normal","normal"
"517",517,7.86,0.59,"normal","normal"
"518",518,7.95,0.58,"normal","normal"
"519",519,7.85,0.59,"normal","normal"
"520",520,7.63,0.6,"normal","normal"
"521",521,7.73,0.59,"normal","normal"
"522",522,7.84,0.59,"normal","normal"
"523",523,6.7,0.64,"anomalia","anomalia"
"524",524,7.67,0.6,"normal","normal"
"525",525,7.98,0.58,"normal","normal"
"526",526,7.75,0.59,"normal","normal"
"527",527,7.84,0.59,"normal","normal"
"528",528,7.81,0.59,"normal","normal"
"529",529,7.74,0.59,"normal","normal"
"530",530,7.69,0.59,"normal","normal"
"531",531,7.95,0.58,"normal","normal"
"532",532,7.91,0.59,"normal","normal"
"533",533,8,0.58,"normal","normal"
"534",534,7.76,0.59,"normal","normal"
"535",535,7.98,0.58,"normal","normal"
"536",536,7.64,0.6,"normal","normal"
"537",537,7.93,0.58,"normal","normal"
"538",538,7.99,0.58,"normal","normal"
"539",539,7.94,0.58,"normal","normal"
"540",540,7.91,0.59,"normal","normal"
"541",541,7.95,0.58,"normal","normal"
"542",542,7.92,0.59,"normal","normal"
"543",543,7.2,0.61,"normal","normal"
"544",544,7.35,0.61,"normal","normal"
"545",545,7.97,0.58,"normal","normal"
"546",546,7.64,0.6,"normal","normal"
"547",547,7.82,0.59,"normal","normal"
"548",548,7.75,0.59,"normal","normal"
"549",549,7.95,0.58,"normal","normal"
"550",550,7.88,0.59,"normal","normal"
"551",551,7.97,0.58,"normal","normal"
"552",552,7.74,0.59,"normal","normal"
"553",553,7.26,0.61,"normal","normal"
"554",554,7.91,0.59,"normal","normal"
"555",555,7.97,0.58,"normal","normal"
"556",556,7.61,0.6,"normal","normal"
"557",557,7.76,0.59,"normal","normal"
"558",558,7.96,0.58,"normal","normal"
"559",559,7.92,0.59,"normal","normal"
"560",560,7.98,0.58,"normal","normal"
"561",561,7.6,0.6,"normal","normal"
"562",562,7.91,0.59,"normal","normal"
"563",563,7.19,0.61,"normal","normal"
"564",564,7.57,0.6,"normal","normal"
"565",565,7.99,0.58,"normal","normal"
"566",566,7.91,0.59,"normal","normal"
"567",567,7.54,0.6,"normal","normal"
"568",568,7.61,0.6,"normal","normal"
"569",569,7.23,0.61,"normal","normal"
"570",570,7.66,0.6,"normal","normal"
"571",571,7.81,0.59,"normal","normal"
"572",572,7.83,0.59,"normal","normal"
"573",573,7.98,0.58,"normal","normal"
"574",574,8,0.58,"normal","normal"
"575",575,7.92,0.59,"normal","normal"
"576",576,7.59,0.6,"normal","normal"
"577",577,7.78,0.59,"normal","normal"
"578",578,7.96,0.58,"normal","normal"
"579",579,7.71,0.59,"normal","normal"
"580",580,7.72,0.59,"normal","normal"
"581",581,7.96,0.58,"normal","normal"
"582",582,7.97,0.58,"normal","normal"
"583",583,7.93,0.58,"normal","normal"
"584",584,7.91,0.59,"normal","normal"
"585",585,7.4,0.61,"normal","normal"
"586",586,8,0.58,"normal","normal"
"587",587,8,0.58,"normal","normal"
"588",588,7.96,0.58,"normal","normal"
"589",589,7.26,0.61,"normal","normal"
"590",590,7.85,0.59,"normal","normal"
"591",591,7.86,0.59,"normal","normal"
"592",592,7.78,0.59,"normal","normal"
"593",593,7.91,0.59,"normal","normal"
"594",594,7.98,0.58,"normal","normal"
"595",595,7.91,0.59,"normal","normal"
"596",596,7.96,0.58,"normal","normal"
"597",597,7.98,0.58,"normal","normal"
"598",598,7.83,0.59,"normal","normal"
"599",599,7.96,0.58,"normal","normal"
"600",600,7.83,0.59,"normal","normal"
"601",601,8,0.58,"normal","normal"
"602",602,7.7,0.59,"normal","normal"
"603",603,7.66,0.6,"normal","normal"
"604",604,7.96,0.58,"normal","normal"
"605",605,7.77,0.59,"normal","normal"
"606",606,7.96,0.58,"normal","normal"
"607",607,7.98,0.58,"normal","normal"
"608",608,7.91,0.59,"normal","normal"
"609",609,7.98,0.58,"normal","normal"
"610",610,7.97,0.58,"normal","normal"
"611",611,7.96,0.58,"normal","normal"
"612",612,7.94,0.58,"normal","normal"
"613",613,7.99,0.58,"normal","normal"
"614",614,7.92,0.59,"normal","normal"
"615",615,7.72,0.59,"normal","normal"
"616",616,7.95,0.58,"normal","normal"
"617",617,7.35,0.61,"normal","normal"
"618",618,7.98,0.58,"normal","normal"
"619",619,7.93,0.58,"normal","normal"
"620",620,7.81,0.59,"normal","normal"
"621",621,7.19,0.61,"normal","normal"
"622",622,8,0.58,"normal","normal"
"623",623,7.91,0.59,"normal","normal"
"624",624,7.93,0.58,"normal","normal"
"625",625,7.94,0.58,"normal","normal"
"626",626,7.96,0.58,"normal","normal"
"627",627,7.73,0.59,"normal","normal"
"628",628,7.98,0.58,"normal","normal"
"629",629,7.81,0.59,"normal","normal"
"630",630,7.4,0.61,"normal","normal"
"631",631,7.95,0.58,"normal","normal"
"632",632,7.96,0.58,"normal","normal"
"633",633,7.81,0.59,"normal","normal"
"634",634,6.98,0.62,"normal","normal"
"635",635,7.93,0.58,"normal","normal"
"636",636,7.29,0.61,"normal","normal"
"637",637,7.77,0.59,"normal","normal"
"638",638,8,0.58,"normal","normal"
"639",639,7.79,0.59,"normal","normal"
"640",640,7.83,0.59,"normal","normal"
"641",641,7.45,0.6,"normal","normal"
"642",642,7.91,0.59,"normal","normal"
"643",643,7.66,0.6,"normal","normal"
"644",644,7.98,0.58,"normal","normal"
"645",645,7.86,0.59,"normal","normal"
"646",646,7.78,0.59,"normal","normal"
"647",647,7.98,0.58,"normal","normal"
"648",648,7.96,0.58,"normal","normal"
"649",649,7.97,0.58,"normal","normal"
"650",650,7.94,0.58,"normal","normal"
"651",651,7.9,0.59,"normal","normal"
"652",652,7.67,0.6,"normal","normal"
"653",653,7.79,0.59,"normal","normal"
"654",654,7.84,0.59,"normal","normal"
"655",655,7.95,0.58,"normal","normal"
"656",656,7.71,0.59,"normal","normal"
"657",657,7.84,0.59,"normal","normal"
"658",658,7.62,0.6,"normal","normal"
"659",659,7.81,0.59,"normal","normal"
"660",660,7.93,0.58,"normal","normal"
"661",661,7.78,0.59,"normal","normal"
"662",662,7.91,0.59,"normal","normal"
"663",663,7.97,0.58,"normal","normal"
"664",664,7.97,0.58,"normal","normal"
